feature,coefficient,std_error,z_score,p_value,significant
road_segment_length_m,-0.31636204204426016,0.03260908460111371,-9.701653570289285,0.0,True
surface=concrete,-0.9944852592113086,0.11770937053338469,-8.448649879826288,0.0,True
surface=missing,-1.1795228394018766,0.1566898589226917,-7.527754811393599,5.1514348342607263e-14,True
oneway=yes,0.6253555545800052,0.09012006435373406,6.939137905243785,3.945066495703031e-12,True
surface=paving_stones,-0.7785273722880283,0.156420148781459,-4.977155298424763,6.452555061375875e-07,True
smoothness=excellent,1.1082869586424189,0.2290415020956941,4.838804096645218,1.3062271899677569e-06,True
surface=sett,-0.7686213981247288,0.1604838328535305,-4.789400804168418,1.6728006466681933e-06,True
access=private,-1.8012082365883542,0.3997323369825332,-4.5060358393448166,6.604993638470447e-06,True
sidewalk=missing,0.4078047859338632,0.09328385284488243,4.371654616495994,1.2330848026209651e-05,True
access=destination,-1.6859076529882513,0.40309661663959173,-4.1823909787256275,2.8845935113652743e-05,True
access=permissive,-2.367923994000249,0.5971011478984658,-3.965699952737159,7.318087423846542e-05,True
street_quality_roi_winz,-0.10491485369165082,0.026725763087733688,-3.925607412863865,8.651115441904444e-05,True
width,-0.10128343150438913,0.02690322728808938,-3.764731659135535,0.00016672803369810474,True
smoothness=good,0.676466303050195,0.2119665736993552,3.1913819770926115,0.0014159394691266591,True
sidewalk=left,-0.552449433694781,0.19889794711070408,-2.777552215696297,0.005477003920602241,True
smoothness=intermediate,0.5830675608743997,0.22382634687149905,2.6049996750791125,0.009187434707768505,True
smoothness=missing,0.5378671598845375,0.2070122935283547,2.5982377699267665,0.009370358495371933,True
tunnel=yes,-1.9687886944789692,0.7947421323144436,-2.477267297689974,0.013239270960398342,True
lanes,0.07304708932440401,0.03098330270882026,2.3576275909284883,0.01839213362937131,True
highway=track,-2.0695531149839144,0.945042750976309,-2.189904226920836,0.02853118337147942,True
access=missing,-0.5708605040471855,0.2696045246773482,-2.117399567868411,0.034225950850066855,True
surface=compacted,-1.4366514686421756,0.6865520504547284,-2.0925601601373547,0.03638843611389819,True
surface=fine_gravel,-1.4954430685821298,0.7811425294468397,-1.9144304812607205,0.05556517393759863,False
surface=gravel,1.0200880960955696,0.5596825532659935,1.8226190724418827,0.06836110493829728,False
highway=primary,1.0454369899594778,0.6416024033726941,1.6294156388192393,0.10322506034926238,False
sidewalk=right,-0.2733349512164765,0.18251237280011146,-1.497624226911095,0.13423090865144482,False
lit=yes,0.9947520568435603,0.8228701424340378,1.208880971061969,0.22670857776505504,False
highway=secondary,0.7573353314663166,0.633705569627223,1.1950902244899295,0.23205178090541123,False
smoothness=very_bad,0.437481621336744,0.39163835821172727,1.117055089635099,0.2639707712044017,False
cycleway=track,0.38729507802384194,0.3496052537376615,1.1078068017663782,0.2679452619611695,False
surface=grass_paver,-0.8816396489377526,0.8463864054109144,-1.041651476561374,0.2975732934194384,False
maxspeed,-0.05647747894893546,0.05434263470449698,-1.039284886646503,0.2986722615898434,False
surface=concrete:lanes,-0.8740994906561331,0.8636735291749483,-1.012071646436987,0.3115037980381832,False
surface=cobblestone,0.5919221841931671,0.5944094359687644,0.9958155917031438,0.31933975319651253,False
highway=tertiary,0.5599054225002659,0.6359171283828552,0.8804691641568329,0.3786052026883131,False
lit=no,0.700206593570106,0.826891145211855,0.8467941610267314,0.39710986337574017,False
surface=ground,-0.765961048672441,0.9122537619263582,-0.8396359441204182,0.40111253935575686,False
surface=unpaved,-0.6761421214542134,0.9178125788633317,-0.7366886628330852,0.4613117028062179,False
surface=unhewn_cobblestone,-0.6942801721374989,0.9457593999500867,-0.7340980932086323,0.4628889555951379,False
tunnel=missing,-0.4852316072079536,0.6721934755368673,-0.7218630124614182,0.4703787037248057,False
surface=paved,-0.27120387631934867,0.39063242591329667,-0.6942687250943783,0.4875137004038481,False
surface=dirt,-0.5816197176635273,1.0182330504000439,-0.5712049097552081,0.5678607504752775,False
highway=motorway,0.3650863591489723,0.6683565359085346,0.5462449150028733,0.5848975956507871,False
sidewalk=separate,-0.10409014530425251,0.20254476677243527,-0.5139117981813902,0.6073136584039751,False
surface=concrete:plates,0.14457993959084706,0.36262321608916065,0.3987056900275745,0.690110074762051,False
cycleway=separate,-0.15443195566072174,0.39439908588146727,-0.39156266124596123,0.6953813811878393,False
surface=sand,-0.4344204051216996,1.186112743542462,-0.3662555751860933,0.7141743757641419,False
highway=path,-0.26805499340821537,0.7443822184764705,-0.3601039717966993,0.7187693827043768,False
highway=motorway_link,0.2299691400537073,0.672679929760067,0.3418700779964302,0.7324486686508631,False
highway=living_street,0.20643062374876714,0.6491644925787392,0.3179943236401343,0.7504892426867553,False
cycleway=missing,0.07807352210206064,0.2463491420032685,0.31692224079686376,0.7513026055543954,False
access=no,-0.12718310986262543,0.41014575859685115,-0.31009246638983007,0.7564906410471617,False
sidewalk=no,-0.04879424624103608,0.16177597546620048,-0.3016161460341839,0.7629446981466219,False
highway=unclassified,-0.1408856259105983,0.6429188371960852,-0.21913438798127685,0.8265453639613065,False
access=delivery,-0.30608252480862236,1.480618492784259,-0.20672612580506358,0.8362237526643488,False
access=yes,-0.23305119082003742,1.573531360349934,-0.14810711542997765,0.8822582340785392,False
cycleway=no,-0.053640116549678776,0.3746167929024638,-0.14318663115469213,0.8861427878182295,False
highway=secondary_link,-0.22057366571567918,2.104256244939344,-0.10482262616359127,0.9165165558722095,False
surface=bricks,-0.19458983242285766,2.0047168685605716,-0.09706599244739093,0.9226739873939682,False
oneway=no,-0.009021348018789135,0.12679579759598936,-0.07114863575789744,0.9432794604807027,False
lit=missing,-0.04061522224165456,0.8217075637574932,-0.049427830572630754,0.9605783496728568,False
highway=residential,0.02351031049143746,0.6303712882855922,0.037295972910469904,0.9702490164125588,False
smoothness=horrible,-0.06744448507671547,3.4905494811921502,-0.01932202521125147,0.984584213629772,False
highway=service,-0.0064086935013210385,0.632133341253576,-0.010138198830980874,0.9919110262469149,False
